ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-10-22,-0.00023298994967034252,0.14389008604076203,0.1438900860408993,-0.00023298994967034252,-0.00023298994967034252,0.14412307599049962,0.14412307599049962,0.14412307599049962,0.14412307599049962,0.14412307599049962,0.14412307599049962,0.0,0.0,0.0,0.14389008604082928
2025-10-23,0.0490123361276261,0.14157779103744947,0.14157779103758122,0.0490123361276261,0.0490123361276261,0.09256545490988688,0.09256545490988688,0.09256545490988688,0.09256545490988688,0.09256545490988688,0.09256545490988688,0.0,0.0,0.0,0.14157779103751297
2025-10-24,0.10233726312404595,0.15898192568460678,0.15898192568474015,0.10233726312404595,0.10233726312404595,0.056644662560627716,0.056644662560627716,0.056644662560627716,0.056644662560627716,0.056644662560627716,0.056644662560627716,0.0,0.0,0.0,0.15898192568467368
2025-10-25,0.15353736783875915,0.1642120399656591,0.1642120399657881,0.15353736783875915,0.15353736783875915,0.010674672126964338,0.010674672126964338,0.010674672126964338,0.010674672126964338,0.010674672126964338,0.010674672126964338,0.0,0.0,0.0,0.16421203996572348
2025-10-26,0.20299411368413656,0.15610477623462013,0.1561047762347567,0.20299411368413656,0.20299411368413656,-0.04688933744944754,-0.04688933744944754,-0.04688933744944754,-0.04688933744944754,-0.04688933744944754,-0.04688933744944754,0.0,0.0,0.0,0.15610477623468902
2025-10-27,0.25143909788091845,0.13517746523644952,0.1351774652365863,0.25143909788091845,0.25143909788091845,-0.116261632644401,-0.116261632644401,-0.116261632644401,-0.116261632644401,-0.116261632644401,-0.116261632644401,0.0,0.0,0.0,0.13517746523651747
2025-10-28,0.2998840820777004,0.1590271865830326,0.15902718658317064,0.2998840820777004,0.2998840820777004,-0.14085689549459685,-0.14085689549459685,-0.14085689549459685,-0.14085689549459685,-0.14085689549459685,-0.14085689549459685,0.0,0.0,0.0,0.15902718658310355
2025-10-29,0.34832906627448235,0.4911004588663399,0.4936054226958944,0.3469773828758238,0.34948234670534833,0.1441230759905545,0.1441230759905545,0.1441230759905545,0.1441230759905545,0.1441230759905545,0.1441230759905545,0.0,0.0,0.0,0.49245214226503686
2025-10-30,0.39677405047126424,0.48502432017204306,0.4930510375142586,0.3924588652619866,0.4004855826042459,0.09256545491005665,0.09256545491005665,0.09256545491005665,0.09256545491005665,0.09256545491005665,0.09256545491005665,0.0,0.0,0.0,0.48933950538132087
2025-10-31,0.4452190346680462,0.49328040891675035,0.5093035310020386,0.4366357463559208,0.45265886844121883,0.05664466256079763,0.05664466256079763,0.05664466256079763,0.05664466256079763,0.05664466256079763,0.05664466256079763,0.0,0.0,0.0,0.5018636972288438
2025-11-01,0.4936640188648281,0.4906450674696615,0.5164165574916217,0.47997039534261643,0.5057418853645369,0.010674672127042975,0.010674672127042975,0.010674672127042975,0.010674672127042975,0.010674672127042975,0.010674672127042975,0.0,0.0,0.0,0.504338690991871
2025-11-02,0.5421090030616099,0.4760405940525411,0.5131403277812804,0.5229299315015995,0.5600296652303793,-0.046889337449155785,-0.046889337449155785,-0.046889337449155785,-0.046889337449155785,-0.046889337449155785,-0.046889337449155785,0.0,0.0,0.0,0.4952196656124541
2025-11-03,0.5905539872583919,0.44794531340046057,0.49956693657604095,0.5642069460450309,0.6158285692205354,-0.11626163264463119,-0.11626163264463119,-0.11626163264463119,-0.11626163264463119,-0.11626163264463119,-0.11626163264463119,0.0,0.0,0.0,0.47429235461376074
2025-11-04,0.6389989714551738,0.4647430670232588,0.5314443233602111,0.6055999625176726,0.6723012188546403,-0.14085689549449265,-0.14085689549449265,-0.14085689549449265,-0.14085689549449265,-0.14085689549449265,-0.14085689549449265,0.0,0.0,0.0,0.49814207596068116
2025-11-05,0.6874439556519557,0.7889565961222997,0.8726131446294321,0.6448335201316802,0.7284900686387679,0.1441230759907017,0.1441230759907017,0.1441230759907017,0.1441230759907017,0.1441230759907017,0.1441230759907017,0.0,0.0,0.0,0.8315670316426574
2025-11-06,0.7358889398487377,0.7767597334604616,0.8780618010683632,0.6841942785506312,0.7854963461584544,0.09256545490985725,0.09256545490985725,0.09256545490985725,0.09256545490985725,0.09256545490985725,0.09256545490985725,0.0,0.0,0.0,0.828454394758595
2025-11-07,0.7843339240455195,0.7804363262707052,0.8985542087947052,0.7237916637099857,0.8419095462340239,0.0566446625606811,0.0566446625606811,0.0566446625606811,0.0566446625606811,0.0566446625606811,0.0566446625606811,0.0,0.0,0.0,0.8409785866062006
2025-11-08,0.8327789082423015,0.7737871686713647,0.9112294526206445,0.7631124965442269,0.9005547804935241,0.010674672127104183,0.010674672127104183,0.010674672127104183,0.010674672127104183,0.010674672127104183,0.010674672127104183,0.0,0.0,0.0,0.8434535803694057
2025-11-09,0.8812238924390834,0.7547695085137739,0.9102443757170644,0.8016588459631057,0.9571337131663702,-0.04688933744930704,-0.04688933744930704,-0.04688933744930704,-0.04688933744930704,-0.04688933744930704,-0.04688933744930704,0.0,0.0,0.0,0.8343345549897764
2025-11-10,0.9296688766358653,0.7206179349771586,0.8995910868908333,0.8368795676215592,1.0158527195351958,-0.11626163264440362,-0.11626163264440362,-0.11626163264440362,-0.11626163264440362,-0.11626163264440362,-0.11626163264440362,0.0,0.0,0.0,0.8134072439914617
